id,kural_tamil,kural_english,meaning_tamil,meaning_english,audio_tamil_url,audio_english_url,youtube_tamil_url,youtube_english_url,section_tamil,subsection_tamil,section_english,subsection_english,uri
11,வான்நின்று உலகம் வழங்கி வருதலால்\nதான்அமிழ்தம் என்றுணரற் பாற்று,வான்நின்று உலகம் வழங்கி வருதலால்\nதான்அமிழ்தம் என்றுணரற் பாற்று,"மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்",Rain is deemed a nectar of life as its unfailing fall sustains the world,,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்\nதுப்பாய தூஉம் மழை,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்\nதுப்பாய தூஉம் மழை,"யாருக்கு உணவுப் பொருள்களை விளைவித்துத்தர மழை பயன்படுகிறதோ, அவர்களுக்கே அந்த மழை அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது",Rain is not only a consumable for the consumer But also begets other consumables,,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து\nஉள்நின்று உடற்றும் பசி,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து\nஉள்நின்று உடற்றும் பசி,"கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர் பொய்த்துவிட்டால் பசியின் கொடுமை வாட்டி வதைக்கும்","This vast world, with expanse of seas, will still suffer with famine if clouds deceive rain",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
14,ஏரின் உழாஅர் உழவர் புயல்என்னும்\nவாரி வளங்குன்றிக் கால்,ஏரின் உழாஅர் உழவர் புயல்என்னும்\nவாரி வளங்குன்றிக் கால்,"மழை என்னும் வருவாய் வளம் குன்றிவிட்டால், உழவுத் தொழில் குன்றிவிடும்","If that bounty called rain decrease, ploughing by ploughmen would also cease",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே\nஎடுப்பதூஉம் எல்லாம் மழை,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே\nஎடுப்பதூஉம் எல்லாம் மழை,பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்,Rain holds the power of ruin.Rain also lifts up those it has ruined,,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே\nபசும்புல் தலைகாண்பு அரிது,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே\nபசும்புல் தலைகாண்பு அரிது,விண்ணிலிருந்து மழைத்துளி விழுந்தாலன்றி மண்ணில் பசும்புல் தலை காண்பது அரிதான ஒன்றாகும்,"If clouds stop dropping raindrops, even blades of grass will stop rising",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி\nதான்நல்கா தாகி விடின்,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி\nதான்நல்கா தாகி விடின்,ஆவியான கடல்நீர் மேகமாகி அந்தக் கடலில் மழையாகப் பெய்தால்தான் கடல்கூட வற்றாமல் இருக்கும். மனித சமுதாயத்திலிருந்து புகழுடன் உயர்ந்தவர்களும் அந்தச் சமுதாயத்திற்கே பயன்பட்டால்தான் அந்தச் சமுதாயம் வாழும்,"Even the vast sea will lose its richness, If clouds cease and fail to bestow",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
18,சிறப்பொடு பூசனை செல்லாது வானம்\nவறக்குமேல் வானோர்க்கும் ஈண்டு,சிறப்பொடு பூசனை செல்லாது வானம்\nவறக்குமேல் வானோர்க்கும் ஈண்டு,"வானமே பொய்த்து விடும்போது, அதன் பின்னர் அந்த வானத்தில் வாழ்வதாகச் சொல்லப்படுகிறவர்களுக்கு விழாக்கள் ஏது? வழிபாடுதான் ஏது?","If the heavens dry up, the very gods will lack festival and worship",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
19,தானம் தவம்இரண்டும் தங்கா வியன்உலகம்\nவானம் வழங்கா தெனின்,தானம் தவம்இரண்டும் தங்கா வியன்உலகம்\nவானம் வழங்கா தெனின்,"இப்பேருலகில் மழை பொய்த்துவிடுமானால் அது, பிறர் பொருட்டுச் செய்யும் தானத்திற்கும், தன்பொருட்டு மேற்கொள்ளும் நோன்புக்கும் தடங்கலாகும்","Both charity and penance would cease in this vast world, should heavens fail to deliver",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
20,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்\nவான்இன்று அமையாது ஒழுக்கு,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்\nவான்இன்று அமையாது ஒழுக்கு,"உலகில் மழையே இல்லையென்றால் ஒழுக்கமே கெடக்கூடும் என்ற நிலை இருப்பதால், நீரின் இன்றியமையாமையை உணர்ந்து செயல்பட வேண்டும்","When water fails, functions of nature cease, you say; Thus when rain fails, no men can walk in 'duty's ordered way'",,,,,அறத்துப்பால்,வான்சிறப்பு,virtue,Greatness of Rain,vaan-sirappu-greatness-of-rain
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து\nவேண்டும் பனுவல் துணிவு,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து\nவேண்டும் பனுவல் துணிவு,"ஒழுக்கத்தில் உறுதியான துறவிகளின் பெருமை, சான்றோர் நூலில் விருப்பமுடனும். உயர்வாகவும் இடம் பெறும்","The settled rule of every code requires, as highest good, Their greatness who, renouncing all, true to their rule have stood",,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து\nஇறந்தாரை எண்ணிக்கொண் டற்று,துறந்தார் பெருமை துணைக்கூறின் வையத்து\nஇறந்தாரை எண்ணிக்கொண் டற்று,உலகில் இறந்தவர்களின் எண்ணிக்கை எவ்வளவு என்று கூற முடியுமா? அதுபோலத்தான் உண்மையாகவே பற்றுகளைத் துறந்த உத்தமர்களின் பெருமையையும் அளவிடவே முடியாது,To recount an ascetic's greatness Is to count the world's dead,,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
23,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்\nபெருமை பிறங்கிற்று உலகு,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்\nபெருமை பிறங்கிற்று உலகு,"நன்மை எது, தீமை எது என்பதை ஆய்ந்தறிந்து நன்மைகளை மேற்கொள்பவர்களே உலகில் பெருமைக் குரியவர்களாவார்கள்","The world shines on the greatness of those who, Knowing both, choose renunciation",,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
24,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்\nவரனென்னும் வைப்பிற்கோர் வித்தது,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்\nவரனென்னும் வைப்பிற்கோர் வித்தது,"உறுதியென்ற அங்குசம் கொண்டு, ஐம்பொறிகளையும் அடக்கிக்காப்பவன், துறவறம் எனும் நிலத்திற்கு ஏற்ற விதையாவான்",The restraint of senses five by the ankush of firmness Is the seed for the bliss of heaven,,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்\nஇந்திரனே சாலுங் கரி,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்\nஇந்திரனே சாலுங் கரி,"ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்",Even the celestial king Indra will vouch the strength Of one who rules his senses five,,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
26,செயற்கரிய செய்வார் பெரியர் சிறியர்\nசெயற்கரிய செய்கலா தார்,செயற்கரிய செய்வார் பெரியர் சிறியர்\nசெயற்கரிய செய்கலா தார்,"பெருமை தரும் செயல்களைப் புரிவோரைப் பெரியோர் என்றும்,சிறுமையான செயல்களையன்றிப் பெருமைக்குரிய செயல்களைச் செய்யாதவர்களைச் சிறியோர் என்றும் வரையறுத்துவிட முடியும்",Great people take on difficult tasks; Small people avoid them,,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
27,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்\nவகைதெரிவான் கட்டே உலகு,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்\nவகைதெரிவான் கட்டே உலகு,ஐம்புலன்களின் இயல்பை உணர்ந்து அவற்றை அடக்கியாளும் திறன் கொண்டவனையே உலகம் போற்றும்,"This world is his who knows for what these five are: Taste, sight, touch, sound and smell",,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
28,நிறைமொழி மாந்தர் பெருமை நிலத்து\nமறைமொழி காட்டி விடும்,நிறைமொழி மாந்தர் பெருமை நிலத்து\nமறைமொழி காட்டி விடும்,"சான்றோர்களின் பெருமையை, இந்த உலகில் அழியாமல் நிலைத்து நிற்கும் அவர்களது அறவழி நூல்களே எடுத்துக் காட்டும்","The might of men whose word is never vain, The 'secret word' shall to the earth proclaim",,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
29,குணமென்னும் குன்றேறி நின்றார் வெகுளி\nகணமேயும் காத்தல் அரிது,குணமென்னும் குன்றேறி நின்றார் வெகுளி\nகணமேயும் காத்தல் அரிது,"நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்",The wrath of those who have scaled the heights of character Can't be endured even for a moment,,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
30,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும்\nசெந்தண்மை பூண்டொழுக லான்,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும்\nசெந்தண்மை பூண்டொழுக லான்,"எல்லா உயிர்களிடத்திலும் செம்மையான அருளை மேற்கொண்டு ஒழுகுவதால், அறவோரே அந்தணர் எனப்படுவோர் ஆவர்",Ascetics are called men of virtue For they assume the role of mercy for all that live,,,,,அறத்துப்பால்,நீத்தார் பெருமை,virtue,Greatness of Renunciants,neethar-perumai-greatness-of-Renunciants
31,சிறப்புஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு\nஆக்கம் எவனோ உயிர்க்கு,சிறப்புஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு\nஆக்கம் எவனோ உயிர்க்கு,"சிறப்பையும், செழிப்பையும் தரக்கூடிய அறவழி ஒன்றைத்தவிர ஆக்கமளிக்கக் கூடிய வழி வேறென்ன இருக்கிறது?","What gain greater than virtue can a living man obtain, Which yields fame and fortune?",,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
32,அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை\nமறத்தலின் ஊங்கில்லை கேடு,அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை\nமறத்தலின் ஊங்கில்லை கேடு,நன்மைகளின் விளைநிலமாக இருக்கும் அறத்தைப் போல் ஒருவருடைய வாழ்க்கைக்கு ஆக்கம் தரக் கூடியது எதுவுமில்லை; அந்த அறத்தை மறப்பதை விடத் தீமையானதும் வேறில்லை,There is no greater gain than virtue.No surer path to ruin than its neglect,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
33,ஒல்லும் வகையான் அறவினை ஓவாதே\nசெல்லும்வாய் எல்லாஞ் செயல்,ஒல்லும் வகையான் அறவினை ஓவாதே\nசெல்லும்வாய் எல்லாஞ் செயல்,"செய்யக்கூடிய செயல்கள் எவை ஆயினும், அவை எல்லா இடங்களிலும் தொய்வில்லாத அறவழியிலேயே செய்யப்பட வேண்டும்",The right thing to do is to be righteous At all places and all times,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
34,மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன்\nஆகுல நீர பிற,மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன்\nஆகுல நீர பிற,மனம் தூய்மையாக இருப்பதே அறம்; மற்றவை ஆரவாரத்தைத் தவிர வேறொன்றுமில்லை,A blemishless mind is the basis of all virtue.Everything else is empty show,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
35,அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும்\nஇழுக்கா இயன்றது அறம்,அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும்\nஇழுக்கா இயன்றது அறம்,"பொறாமை, பேராசை, பொங்கும் கோபம், புண்படுத்தும் சொல் ஆகிய இந்த நான்கும் அறவழிக்குப் பொருந்தாதவைகளாகும்","Envy, greed, wrath and harsh words: These four avoided is virtue",,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
36,அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது\nபொன்றுங்கால் பொன்றாத் துணை,அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது\nபொன்றுங்கால் பொன்றாத் துணை,பிறகு பார்த்துக்கொள்ளலாம் என்று நாள் கடத்தாமல் அறவழியை மேற்கொண்டால் அது ஒருவர் இறந்தபின் கூட அழியாப் புகழாய் நிலைத்துத் துணை நிற்கும்,Defer not virtue but practice now.At the dying hour she will be your undying friend,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
37,அறத்தாறு இதுவென வேண்டா சிவிகை\nபொறுத்தானோடு ஊர்ந்தான் இடை,அறத்தாறு இதுவென வேண்டா சிவிகை\nபொறுத்தானோடு ஊர்ந்தான் இடை,"அறவழியில் நடப்பவர்கள் பல்லக்கில் உட்கார்ந்து செல்பவர்களைப் போல வாழ்க்கையில் வரும் இன்ப துன்பங்கள் இரண்டையும் எளியவாகக் கருதி மகிழ்வுடன் பயணத்தை மேற்கொள்வார்கள். தீய வழிக்குத் தங்களை ஆட்படுத்திக் கொண்டவர்களோ பல்லக்கைத் தூக்கிச் சுமப்பவர்களைப் போல இன்பத்திலும் அமைதி கொள்ளாமல், துன்பத்தையும் தாங்கிக் கொள்ளும் மனப்பக்குவமின்றி வாழ்வையே பெரும் சுமையாகக் கருதுவார்கள்",Inquiring about virtues' benefits?See that between The rider and bearer of a palanquin,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
38,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன்\nவாழ்நாள் வழியடைக்கும் கல்,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன்\nவாழ்நாள் வழியடைக்கும் கல்,"பயனற்றதாக ஒருநாள்கூடக் கழிந்து போகாமல், தொடர்ந்து நற்செயல்களில் ஈடுபடுபவருக்கு வாழ்க்கைப் பாதையைச் சீராக்கி அமைத்துத் தரும் கல்லாக அந்த நற்செயல்களே விளங்கும்",The good you do without wasting a day Is the stone that blocks the way to rebirth.,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
39,அறத்தான் வருவதே இன்பம் மற்றெல்லாம்\nபுறத்த புகழும் இல,அறத்தான் வருவதே இன்பம் மற்றெல்லாம்\nபுறத்த புகழும் இல,தூய்மையான நெஞ்சுடன் நடத்தும் அறவழி வாழ்க்கையில் வருகின்ற புகழால் ஏற்படுவதே இன்பமாகும். அதற்கு மாறான வழியில் வருவது புகழும் ஆகாது; இன்பமும் ஆகாது,"Virtue alone brings happiness; All else is naught, and without praise",,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
40,செயற்பால தோரும் அறனே ஒருவற்கு\nஉயற்பால தோரும் பழி,செயற்பால தோரும் அறனே ஒருவற்கு\nஉயற்பால தோரும் பழி,பழிக்கத் தக்கவைகளைச் செய்யாமல் பாராட்டத்தக்க அறவழிச் செயல்களில் நாட்டம் கொள்வதே ஒருவர்க்குப் புகழ் சேர்க்கும்,Virtue' sums the things that should be done; 'Vice' sums the things that man should shun,,,,,அறத்துப்பால்,அறன்வலியுறுத்தல்,virtue,Power of Righteousness,aran-valiyuruthal-power-of-righteousness
